"grid_id","alpha","lambda","log10_lambda","accuracy","tc","valid"
0,0,100,2,0.428116710875332,3119.30855018587,TRUE
1,0.1,100,2,0.428116710875332,3119.30855018587,TRUE
2,0.2,100,2,0.428116710875332,3119.30855018587,TRUE
3,0.3,100,2,0.428116710875332,3119.30855018587,TRUE
4,0.4,100,2,0.428116710875332,3119.30855018587,TRUE
5,0.5,100,2,0.428116710875332,3119.30855018587,TRUE
6,0.6,100,2,0.428116710875332,3119.30855018587,TRUE
7,0.7,100,2,0.428116710875332,3119.30855018587,TRUE
8,0.8,100,2,0.428116710875332,3119.30855018587,TRUE
9,0.9,100,2,0.428116710875332,3119.30855018587,TRUE
10,1,100,2,0.428116710875332,3119.30855018587,TRUE
11,0,31.6227766016838,1.5,0.428116710875332,3119.30855018587,TRUE
12,0.1,31.6227766016838,1.5,0.428116710875332,3119.30855018587,TRUE
13,0.2,31.6227766016838,1.5,0.428116710875332,3119.30855018587,TRUE
14,0.3,31.6227766016838,1.5,0.428116710875332,3119.30855018587,TRUE
15,0.4,31.6227766016838,1.5,0.428116710875332,3119.30855018587,TRUE
16,0.5,31.6227766016838,1.5,0.428116710875332,3119.30855018587,TRUE
17,0.6,31.6227766016838,1.5,0.428116710875332,3119.30855018587,TRUE
18,0.7,31.6227766016838,1.5,0.428116710875332,3119.30855018587,TRUE
19,0.8,31.6227766016838,1.5,0.428116710875332,3119.30855018587,TRUE
20,0.9,31.6227766016838,1.5,0.428116710875332,3119.30855018587,TRUE
21,1,31.6227766016838,1.5,0.428116710875332,3119.30855018587,TRUE
22,0,10,1,0.428116710875332,3119.30855018587,TRUE
23,0.1,10,1,0.428116710875332,3119.30855018587,TRUE
24,0.2,10,1,0.428116710875332,3119.30855018587,TRUE
25,0.3,10,1,0.428116710875332,3119.30855018587,TRUE
26,0.4,10,1,0.428116710875332,3119.30855018587,TRUE
27,0.5,10,1,0.428116710875332,3119.30855018587,TRUE
28,0.6,10,1,0.428116710875332,3119.30855018587,TRUE
29,0.7,10,1,0.428116710875332,3119.30855018587,TRUE
